Common Name,Primary Genre,Combined Genres,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
Chester Aaron,Young Adult (YA),Young Adult (YA) | Fiction,05/09/1943,8/30/2019,5/9/1923 - 8/30/2019,"<p>Chester Aaron, a graduate of Butler High School in Pennsylvania, is an accomplished writer and garlic farmer. His writing career has spanned over four decades and he is best known for his first novel, <em>About Us</em> (1967). Aaron continues to write novels and recipe books in his home of Occidental, California.</p>","Butler, PA",Butler County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Aaron%2C+Chester"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Aaron__Chester"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Aaron__Chester.jpg,40.861661,-79.895202,Photo Credit: Photograph of Chester Aaron. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Chester Aaron (2011). ,,"Butler, PA | Butler County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Aaron__Chester"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Aaron%2C+Chester"" target=""_blank"">PSU Catalog Link</a>"
Edward Abbey,Nonfiction,Nonfiction | Fiction,01/29/1947,3/14/1989,1/29/1927 - 3/14/1989,"<p>Born in 1927, Edward Abbey became a writer who crusaded for the environment and its preservation. He grew up in Pennsylvania and later focused his life and writing on the American West. Abbey wrote essays, poetry, novels, and nonfiction, and his books include,<em>The Monkey Wrench Gang</em>(1975),<em></em><em>Fire on the Mountain</em>(1962), Desert Solitaire (1968), and others. The 1963 Western Heritage Award for his novel <em>Fire on the Mountain</em> was one of multiple awards that recognized his work, and a couple of his works were also adapted to film. Edward Abbey died on March 14, 1989, and is buried in an unmarked location in a US southwestern desert, per his request and his hope that his body would nourish the earth.</p>","Home, PA",Indiana County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Abbey%2C+Edward%2C+1927-1989"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Abbey__Edward"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Abbey__Edward.jpg,40.738353,-79.105602,"Photo Credit: Jay Dusard. Home, Pennsylvania. 8 Nov 1949. Photograph. Licensed under Fair Use. Cropped to 4x3, Straightened. Source: Online Resource. Pennsylvania.Source: https://orionmagazine.org/cms/assets/uploads/archive/i/article_images/06%20July%20Abbey.jpg.",,"Home, PA | Indiana County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Abbey__Edward"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Abbey%2C+Edward%2C+1927-1989"" target=""_blank"">PSU Catalog Link</a>"
Robert D. Abrahams,Young Adult (YA),Young Adult (YA) | Poetry,09/21/1925,2/15/1998,9/21/1905 - 2/15/1998,"<p>A lawyer, writer, and poet, Robert D. Abrahams balanced his many interests with a healthy sense of obligation to his community and to his Jewish heritage. Born in September of 1905, he received his law degree in 1925 and was active in Philadelphia's justice system until his death in 1998.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Abrahams%2C+Robert+D.%2C+1905-1998"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Abrahams__Robert_David"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Abrahams__Robert_David.jpg,39.952012,-75.167762,"Photo Credit: Photograph of Robert D. Abrahams. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://s3.amazonaws.com/photos.geni.com/p10/6881/1875/53444837fcfdf6b5/bux73viy_medium.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Abrahams__Robert_David"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Abrahams%2C+Robert+D.%2C+1905-1998"" target=""_blank"">PSU Catalog Link</a>"
Diane Ackerman,Nonfiction,Nonfiction | Poetry,10/07/1968,1/1/2050,Born: 10/7/1948,"<p>In her youth, Diane Ackerman spent many years living in Allentown, Pennsylvania, and began developing her talent as a poet. She received her undergraduate education from the Pennsylvania State University (Penn State) and her graduate degrees from Cornell University. Throughout her writing career, Ackerman has served as a poetry judge, lectured at major universities, and had many of her poems printed in major publications. She has been presented with awards, including the Academy of American Poets Prize, and has received grants and recognition from prestigious foundations such as the National Endowment for the Arts (NEA). She has also earned respect for her scientific writing.</p>","Allentown, PA",Lehigh County,http://www.dianeackerman.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Ackerman%2C+Diane%2C+1948-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Ackerman__Diane"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Ackerman__Diane.jpg,40.60215,-75.47175,Photo Credit: Michael Wechsler. Photograph of Diane Ackerman. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://files.site-fusion.co.uk/c4/9a/c49aeca1-08d6-48e3-a1d1-01c4f681d2f5.jpg.,,"Allentown, PA | Lehigh County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Ackerman__Diane"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Ackerman%2C+Diane%2C+1948-"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.dianeackerman.com/"" target=""_blank"">Personal Website</a>"
Beth Ain,Children's,Children's,07/15/1995,1/1/2050,Born: 7/15/1975,"<p>Beth Ain was born in Hershey, Pennsylvania, and later moved to New York City after earning her BA from Brandeis University near Boston. She was a Senior Editor for Scholastic Publishing for six years and by 2008 began writing children's books exclusively, including young adult (YA) historical fiction, novel adaptations of Disney shows and movies, and a series of children's books that began with <em>Starring Jules (as Herself)</em> in 2013.</p>","Hershey, PA",Dauphin County,https://www.bethain.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Ain%2C+Beth+Levine"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Ain_Beth"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Ain__Beth.jpg,40.285924,-76.650247,Photo Credit: Diana Berrent Photography. Beth Ain Headshot. 1 Apr 2015. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://tincanstilts.files.wordpress.com/2014/03/beth-ain-headshot-diana-berrent-photography-april-2015-007-2-e1491329256682.jpg?w=408&h=435&crop=1.,,"Hershey, PA | Dauphin County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Ain_Beth"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Ain%2C+Beth+Levine"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.bethain.com/"" target=""_blank"">Personal Website</a>"
Louisa May Alcott,Fiction,Fiction,11/29/1852,3/6/1888,11/29/1832 - 3/6/1888,"<p>Louisa May Alcott was born in Germantown, Pennsylvania, in 1832. She soon moved to New England, where she lived for the remainder of her life. Alcott was an active feminist and abolitionist. She worked as a teacher when she could, but spent most of her time writing. She published many short stories in various periodicals and numerous novels, her most famous work being the 1868 <em>Little Women</em>, a chronicle of the lives of the March sisters. Her main character, Jo March, was based on Alcott's own life. In 1879, she became the first woman to register to vote in Concord, Massachusetts. Alcott never married and died in 1888.</p>","Germantown, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Alcott%2C+Louisa+May%2C+1832-1888"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Alcott__Louisa_May"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Alcott__Louisa_May.jpg,40.033667,-75.171567,"Photo Credit: Headshot of Louisa May Alcott (November 29, 1832 – March 6, 1888), American novelist, at age 20. 1857 (computed as 1852-3 based on her age; published in 1909 and possibly before). Photograph. Licensed under Public Domain. Cropped to 4x3, B&W, Filled background. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/4/4f/Louisa_May_Alcott_headshot.jpg.",,"Germantown, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Alcott__Louisa_May"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Alcott%2C+Louisa+May%2C+1832-1888"" target=""_blank"">PSU Catalog Link</a>"
Lloyd Alexander,Children's,Children's | Fiction,01/30/1944,5/17/2007,1/30/1924 - 5/17/2007,"<p>Lloyd Alexander was born on January 30, 1924, in Philadelphia, Pennsylvania. By the age of 15, Alexander knew he wanted to be a writer. After serving in World War II and studying at the University of Paris, he returned to Pennsylvania in 1947 to begin a writing career. Seven years later, after several rejections, Alexander published his first book, the novel <em>And Let the Credit Go</em> (1955). However, it was not until 1963 that he would discover his true passion as a writer: fantasy novels for children. In 1969, Alexander won the prestigious Newbery Medal for <em>The High King</em>, the final volume in his acclaimed series, <em>The Prydain Chronicles</em>. He also won the National Book Award on two occasions: <em>The Marvelous Misadventures of Sebastian</em> (1970) and <em>Westmark</em> (1981). Alexander died in 2007 in Drexel Hill.</p>","Drexel Hill, PA",Delaware County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Alexander%2C+Lloyd"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Alexander__Lloyd"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Alexander__Lloyd.jpg,39.956999,-75.293716,"Photo Credit: Photograph of Lloyd Alexander. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://images.gr-assets.com/authors/1353430382p5/8924.jpg.",,"Drexel Hill, PA | Delaware County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Alexander__Lloyd"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Alexander%2C+Lloyd"" target=""_blank"">PSU Catalog Link</a>"
Hervey Allen,Fiction,Fiction | Poetry,12/08/1909,12/28/1949,12/8/1889 - 12/28/1949,"<p>Hervey Allen was born on December 8, 1889, in Pittsburgh. He spent his childhood in the city, then left to enroll in the United States Naval Academy. He was discharged and returned to Pittsburgh due to an injury. Allen then studied at the University of Pittsburgh and served in the Pennsylvanian National Guard, where he saw service on the Mexican border and in France during World War I. During his service, he wrote poetry and eventually published a novel, Anthony Adverse. Allen continued writing until he passed away in Coconut Grove, Florida in 1949. Anthony Adverse is credited with renewing public interest in the historical fiction genre.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Allen%2C+Hervey%2C+1889-1949"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Allen__Hervey"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Allen__Hervey.jpg,40.45308,-79.922093,Photo Credit: Photograph of Hervey Allen. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://images.gr-assets.com/authors/1500219272p5/311048.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Allen__Hervey"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Allen%2C+Hervey%2C+1889-1949"" target=""_blank"">PSU Catalog Link</a>"
Queen Alliquippa,Oral Tradition,Oral Tradition,01/01/1700,12/23/1754,ca. 1680 - 12/23/1754,"<p><strong>Photo Credit: </strong>John Rogers. ""<a href=""https://upload.wikimedia.org/wikipedia/commons/b/b9/Alliquippa.jpg"">Washington and Gist visit Queen Aliquippa.</a>"" ca. 1856. Print. Licensed under <a href=""https://creativecommons.org/publicdomain/mark/1.0/deed.en"">Public Domain</a>. Cropped to 4x3. Source: New York, Virtue, Yorston & Co. Source: Wikimedia Commons. </p>","McKeesport, PA",Allegheny County,,,,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Alliquippa.jpg,40.359992,-79.833316,"Photo Credit: John Rogers. Washington and Gist visit Queen Aliquippa. ca. 1856. Print. Licensed under Public Domain. Cropped to 4x3. Source: New York, Virtue, Yorston & Co. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/b/b9/Alliquippa.jpg.",,"McKeesport, PA | Allegheny County",
Margaret Almon,Poetry,Poetry,07/29/1987,1/1/2050,Born: 7/29/1967,"<p>Born in Albuquerque, New Mexico, in 1967, Margaret Almon eventually moved to the United States, where she earned an MFA from University of Oregon in 1992. She has published poems in several literary journals, including <em>Hayden's Poetry Review</em> and <em>The Calyx Anthology</em> <em>Present Tense: Writing and Art by Young Women</em>. She is the recipient of the 1997 National Education Association Grant and winner of the 1997 Sara Henderson Hay Prize for her poem ""Crucifixus."" Almon was the second Poet Laureate (2000) to be named in Montgomery County, Pennsylvania, and her work has been noted for its grasp on the feminist tradition. At the time of this writing, she also creates mosaics with her husband for their fine glass business, <a href=""https://nutmegdesignsart.com/"" target=""_blank"">Nutmeg</a>.</p>","Lansdale, PA",Montgomery County,https://www.margaretalmon.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Almon%2C+Margaret"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Almon__Margaret"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Almon__Margaret.jpg,40.242272,-75.287136,"Photo Credit: Photograph of Margaret Almon. Photograph. Licensed under Fair Use. Cropped to 4x3, Removed Wayne Stratz from photo. Source: Online Resource. Source: https://nutmegdesignsart.com/wp-content/uploads/2018/05/171210_NutmegDesigns-101-Nutmeg-rectangle.jpeg.",,"Lansdale, PA | Montgomery County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Almon__Margaret"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Almon%2C+Margaret"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.margaretalmon.com/"" target=""_blank"">Personal Website</a>"
